TAMANHO_MUSICA: .word 129
NOTAS:
31, 500, 33, 127,
55, 750, 80, 127,
0, 500, 0, 0,
31, 500, 33, 127,
0, 250, 0, 0,
57, 250, 80, 127,
0, 250, 0, 0,
34, 500, 33, 127,
58, 250, 80, 127,
0, 250, 0, 0,
65, 250, 80, 127,
0, 250, 0, 0,
34, 500, 33, 127,
58, 250, 80, 127,
0, 250, 0, 0,
57, 250, 80, 127,
0, 250, 0, 0,
26, 500, 33, 127,
57, 375, 80, 127,
0, 375, 0, 0,
55, 375, 80, 127,
0, 125, 0, 0,
26, 500, 33, 127,
0, 250, 0, 0,
57, 250, 80, 127,
0, 250, 0, 0,
31, 500, 33, 127,
58, 1000, 80, 127,
0, 500, 0, 0,
31, 500, 33, 127,
0, 500, 0, 0,
26, 500, 33, 127,
50, 750, 80, 127,
0, 500, 0, 0,
26, 500, 33, 127,
0, 250, 0, 0,
52, 250, 80, 127,
0, 250, 0, 0,
29, 500, 33, 127,
53, 250, 80, 127,
0, 250, 0, 0,
59, 62, 80, 127,
0, 62, 0, 0,
60, 187, 80, 127,
0, 187, 0, 0,
29, 500, 33, 127,
53, 250, 80, 127,
0, 250, 0, 0,
52, 250, 80, 127,
0, 250, 0, 0,
33, 500, 33, 127,
52, 375, 80, 127,
0, 375, 0, 0,
50, 375, 80, 127,
0, 125, 0, 0,
33, 500, 33, 127,
0, 250, 0, 0,
45, 250, 80, 127,
0, 250, 0, 0,
29, 500, 33, 127,
53, 1000, 80, 127,
0, 500, 0, 0,
29, 500, 33, 127,
0, 500, 0, 0,
31, 500, 33, 127,
55, 750, 80, 127,
0, 500, 0, 0,
31, 500, 33, 127,
0, 250, 0, 0,
57, 250, 80, 127,
0, 250, 0, 0,
34, 500, 33, 127,
58, 250, 80, 127,
0, 250, 0, 0,
65, 250, 80, 127,
0, 250, 0, 0,
34, 500, 33, 127,
57, 250, 80, 127,
0, 250, 0, 0,
60, 250, 80, 127,
0, 250, 0, 0,
26, 500, 33, 127,
62, 500, 80, 127,
0, 500, 0, 0,
26, 500, 33, 127,
54, 250, 80, 127,
0, 250, 0, 0,
58, 250, 80, 127,
0, 250, 0, 0,
29, 500, 33, 127,
57, 375, 80, 127,
0, 375, 0, 0,
55, 375, 80, 127,
0, 125, 0, 0,
29, 500, 33, 127,
0, 250, 0, 0,
55, 250, 80, 127,
0, 250, 0, 0,
26, 500, 33, 127,
50, 750, 80, 127,
0, 500, 0, 0,
26, 500, 33, 127,
0, 250, 0, 0,
52, 250, 80, 127,
0, 250, 0, 0,
31, 500, 33, 127,
53, 250, 80, 127,
0, 250, 0, 0,
60, 250, 80, 127,
0, 250, 0, 0,
31, 500, 33, 127,
53, 250, 80, 127,
0, 250, 0, 0,
52, 250, 80, 127,
0, 250, 0, 0,
33, 500, 33, 127,
52, 750, 80, 127,
0, 500, 0, 0,
33, 500, 33, 127,
0, 250, 0, 0,
45, 125, 80, 127,
0, 125, 0, 0,
48, 125, 80, 127,
0, 125, 0, 0,
26, 500, 33, 127,
50, 994, 80, 127,
0, 500, 0, 0,
26, 494, 33, 127
0, 500, 0, 0,
